,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency
111,19.0201986801,-98.2610655503,0,0.0,8,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
112,19.0721155051,-98.1671773364,1,0.0,3,2.0,1.9,2.5,2.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
113,19.0719532632,-98.1668915972,0,1.0,1,0.0,0.0,0.0,8.0,2.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
114,19.0715882889,-98.1664877444,1,0.0,1,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
115,19.0716345616,-98.1666851677,2,3.0,0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
116,19.0715397103,-98.1665939559,2,0.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
117,19.0740419,-98.1652797,0,0.0,2,0.0,0.0,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
118,19.0734945238,-98.1655042246,2,18.0,24,4.0,4.0,20.0,1.0,4.2,1.0,14.2,1.6,7.0,28.5,13.6,10.5,2.0,7.0
119,19.0735515603,-98.1654552743,2,6.0,30,3.0,3.0,7.0,1.0,7.0,5.0,14.2,1.6,7.0,7.0,7.0,7.0,2.0,7.0
120,19.072871427,-98.1659044691,1,1.0,1,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
121,19.0720983908,-98.1665167585,1,1.0,1,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
122,19.0722181684,-98.1664034352,1,0.0,7,1.0,1.0,2.5,2.0,4.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,4.0
123,19.0189338,-98.2622569,0,1.0,2,3.0,0.0,2.5,5.0,2.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,7.0
124,19.0726785172,-98.1661550067,2,1.0,7,1.0,0.0,0.0,8.0,3.0,1.0,14.2,1.6,9.0,28.5,21.0,0.0,2.0,7.0
125,19.0725157,-98.1633137,0,0.0,0,0.0,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
126,19.0752733,-98.1668952,0,1.0,1,0.0,0.0,2.5,3.0,7.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
127,19.0697916,-98.166774,3,2.0,1,0.0,0.0,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
128,19.0708331,-98.1661693,0,0.0,0,1.0,1.0,2.5,3.8,4.2,1.0,15.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
129,19.0721611315,-98.1664889306,1,3.0,1,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
130,19.0728386119,-98.1637859345,0,23.0,6,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
131,19.0737175029,-98.1648537696,0,0.0,3,1.0,2.0,2.5,3.0,2.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
132,19.0431192,-98.1941676,1,1.0,2,1.0,1.0,1.0,4.0,7.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
133,19.0424679,-98.1939337,3,0.0,12,3.0,3.0,2.5,1.0,4.2,0.0,14.2,1.6,9.0,28.5,10.0,3.0,2.0,2.0
134,19.0752377222,-98.1669914258,2,3.0,7,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
135,19.0707676642,-98.1677079679,0,2.0,0,2.0,1.9,2.5,15.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
136,19.070091556,-98.1668828059,0,1.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
137,19.0706364153,-98.1663859179,0,1.0,5,1.0,1.9,0.0,7.0,3.0,1.0,50.0,1.6,9.0,28.5,13.6,10.5,2.0,7.0
138,19.0709173875,-98.1661138874,1,3.0,4,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
139,19.0258281,-98.2492535,3,1.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
140,19.02534,-98.24906,2,11.0,18,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
141,19.0196109752,-98.2613523613,1,4.0,8,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
142,19.0577455954,-98.2224672044,3,0.0,24,4.0,4.0,2.5,10.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
143,19.0576937048,-98.2224884518,3,0.0,3,5.0,5.0,2.5,5.0,4.2,1.0,15.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
144,19.0598786521,-98.2278537583,4,1.0,15,4.0,6.0,2.5,1.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
146,19.0613368025,-98.2285427196,0,0.0,14,1.0,1.0,2.5,7.0,4.2,1.0,15.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
147,19.0605600821,-98.2275981059,2,0.0,6,2.0,2.0,2.5,2.0,4.2,1.0,15.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
148,19.0599870721,-98.2278379428,0,0.0,12,1.0,1.0,2.5,0.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
149,19.0591967259,-98.2246795332,5,0.0,1,2.0,2.0,2.5,4.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
150,19.0561435132,-98.2212986935,0,0.0,8,0.0,0.0,2.5,2.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
151,18.9993095,-98.2749524,4,1.0,3,6.0,6.0,2.5,3.0,3.0,0.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
152,18.9993582,-98.2750659,4,0.0,4,2.0,3.0,2.5,2.0,2.0,0.0,14.2,1.6,9.0,28.5,8.0,0.0,2.0,2.0
153,19.019056,-98.2617893,5,1.0,1,3.0,1.9,1.0,0.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
154,19.0189901,-98.2618157,4,0.0,0,0.0,0.0,2.5,5.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
155,19.0189553,-98.2619128,1,1.0,2,2.0,1.9,2.5,0.0,1.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
156,19.0189428,-98.261972,1,0.0,0,2.0,2.0,2.5,4.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
157,19.0189376,-98.2622459,0,0.0,0,2.0,2.0,2.5,4.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,7.0
158,19.0192176,-98.2625277,0,2.0,1,3.0,2.0,2.5,5.0,3.0,1.0,2.0,0.0,9.0,28.5,13.6,10.5,2.0,1.0
159,19.0577006737,-98.2225255488,2,0.0,1,2.0,2.0,2.5,1.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
160,19.0443226704,-98.2003063305,2,1.6,13,1.0,2.0,2.5,4.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,35.0,2.0,1.0
161,19.0201684863,-98.2170385251,0,3.0,1,0.0,0.0,2.0,7.0,7.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
162,19.0347777,-98.2655858,0,0.0,0,3.0,2.0,2.5,4.0,4.2,1.0,14.2,1.6,1.0,28.5,13.6,1.0,2.0,3.0
164,19.0434026,-98.1947222,0,0.0,5,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
165,19.0431876,-98.194174,0,1.0,7,4.0,1.9,2.5,5.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,1.0,1.0,5.0
166,19.0431145635,-98.1940658722,1,0.0,5,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
